date,slot,L_raw,L_cor,L_act,PV_raw,PV_cor,PV_act,bL,bPV,n_valid_L,lvl_L,n_valid_PV,n_fb
2025-05-08,26,3554.3235,3550.41468833333,3452.7362,0.00985,0.0885380952380952,0,-3.90881166666669,0.0786880952380952,20,1,28,0
2025-05-08,27,3546.4595,3542.55068833333,3409.9292,0.020025,0.0987130952380952,0.2153,-3.90881166666669,0.0786880952380952,20,1,28,0
2025-05-08,28,3627.3575,3623.44868833333,3395.96,0,0.0786880952380952,0,-3.90881166666669,0.0786880952380952,20,1,28,0
2025-05-08,29,3647.606475,3643.69766333333,3371.0255,0.137075,0.215763095238095,0,-3.90881166666669,0.0786880952380952,20,1,28,0
2025-05-08,30,3633.685325,3629.77651333333,3564.0323,0.278925,0.357613095238095,2.9991,-3.90881166666669,0.0786880952380952,20,1,28,0
2025-05-08,31,3620.365,3620.42058020833,3876.94,0,82.453522172619,0,0.0555802083333283,82.453522172619,20,1,28,0
2025-05-08,32,3617.83695,3617.89253020833,3938.0805,1.90905,84.362572172619,0,0.0555802083333283,82.453522172619,20,1,28,0
2025-05-08,33,3679.68995,3679.74553020833,3854.7837,5.00215,87.455672172619,50.2305,0.0555802083333283,82.453522172619,20,1,28,0
2025-05-08,34,3660.04,3660.09558020833,3690.87,33.384375,115.837897172619,228.375,0.0555802083333283,82.453522172619,20,1,28,0
2025-05-08,35,3456.945075,3457.00065520833,3506.7432,154.28665,236.740172172619,452.9917,0.0555802083333283,82.453522172619,20,1,28,0
2025-05-08,36,3927.055675,3927.11125520833,3970.1323,362.24675,444.700272172619,668.4138,0.0555802083333283,82.453522172619,20,1,28,0
2025-05-08,37,4801.21,4797.44718916667,4778.3,614.690625,1005.01956979167,876.675,-3.76281083333333,390.328944791667,20,1,28,0
2025-05-08,38,4886.289325,4882.52651416667,4869.4194,860.450075,1250.77901979167,1124.0977,-3.76281083333333,390.328944791667,20,1,28,0
2025-05-08,39,4739.166,4735.40318916667,4631.0325,1122.74105,1513.06999479167,1416.2905,-3.76281083333333,390.328944791667,20,1,28,0
2025-05-08,40,4793.9625,4790.19968916667,4578.96,1407.759375,1798.08831979167,1737.225,-3.76281083333333,390.328944791667,20,1,28,0
2025-05-08,41,4900.6619,4896.89908916667,4828.8809,1702.50565,2092.83459479167,2046.3148,-3.76281083333333,390.328944791667,20,1,28,0
