date,em_kwh,cost_total_yuan
2025-06-12,1853.85668333333,56343.1612972533
2025-06-13,16.9638333333335,21449.9536733811
2025-06-14,9.61323333333333,21670.9217021026
2025-06-15,1774.38763333333,55852.9958752055
2025-06-16,1943.68986666667,56889.9395923251
2025-06-17,3732.12036666667,64358.0798974304
2025-06-18,971.065066666667,51989.1081940158
2025-06-19,163.158083333333,48795.119447868
2025-06-20,0.077350000000024,20692.3221116383
2025-06-21,0.077350000000024,20649.4710967867
2025-06-22,1510.47813333333,54171.4263913472
2025-06-23,1142.70368333333,52903.7887853823
2025-06-24,4528.24851666667,67439.0571306036
2025-06-25,1988.11261666667,54981.5272618725
2025-06-26,803.88335,51374.469607461
2025-06-27,0.077350000000024,20207.970098716
2025-06-28,0.077350000000024,20298.050192855
2025-06-29,683.314033333334,49981.3239187272
2025-06-30,711.6764,49904.5808863927
2025-07-01,135.663466666667,58618.1396364267
2025-07-02,0.171316666666523,57695.3414893579
2025-07-03,127.9226,58660.870276975
2025-07-04,0.171316666666674,28287.24144633
2025-07-05,0.171316666666674,28021.6794790432
2025-07-06,760.395766666667,61217.5901590533
2025-07-07,0.171316666666523,57758.3756295133
2025-07-08,0.171316666666523,57922.26971273
2025-07-09,0.171316666666598,57343.849111238
2025-07-10,0.171316666666523,57404.9391814217
2025-07-11,0.171316666666674,27648.6603427585
2025-07-12,0.171316666666674,27697.5999921058
2025-07-13,0.171316666666523,57004.5446663016
2025-07-14,0.171316666666598,57919.1483442741
2025-07-15,0.171316666666674,56677.9096847459
2025-07-16,0.171316666666598,57181.0117113508
2025-07-17,0.171316666666523,56732.6174014585
2025-07-18,0.171316666666598,26980.1374805733
2025-07-19,0.17131666666675,27464.9552906677
2025-07-20,0.171316666666598,55978.7451117517
2025-07-21,0.171316666666598,55738.9510732347
2025-07-22,146.18485,57067.4319796617
2025-07-23,0.172366666666524,56544.5738210884
2025-07-24,241.823966666667,57187.5364546668
2025-07-25,0.243816666666665,26535.5060816825
2025-07-26,1.80289999999998,26755.0302423061
2025-07-27,2.66704999999987,55369.48611616
2025-07-28,136.047516666667,56176.5999219606
2025-07-29,329.362,56727.9400271292
2025-07-30,6.5164833333334,55706.0143852717
2025-07-31,23.5798333333332,55261.285812521
2025-08-01,6.51648333333333,26722.8804586678
2025-08-02,6.5164833333334,25979.601683651
2025-08-03,6.5164833333334,55721.980104848
2025-08-04,7.46558333333337,55594.7291883333
2025-08-05,9.83806666666669,54248.8525186966
2025-08-06,9.46568333333335,54347.4333632236
2025-08-07,10.7696833333334,54702.7029191558
2025-08-08,12.55865,25665.9966181653
