date,Z_milp,Z_lp,gap
2025-07-05,24069.3491610902,24069.3491610902,3.63797880709171e-12
2025-07-06,52931.1895130178,52931.1895130178,-7.27595761418343e-12
2025-07-07,47914.3235632827,47914.3235632826,2.91038304567337e-11
2025-07-08,50344.4937558897,50344.4937558897,-2.18278728425503e-11
2025-07-09,48730.7159834633,48730.7159834633,-7.27595761418343e-12
2025-07-10,48447.9916229521,48447.9916229521,1.45519152283669e-11
2025-07-11,23764.5219083374,23764.5219083374,-1.09139364212751e-11
2025-07-12,24099.9572669467,24099.9572669467,-3.63797880709171e-12
2025-07-13,46330.0340833932,46330.0340833932,7.27595761418343e-12
2025-07-14,47497.9774561352,47496.08335959,1.89409654518386
2025-07-15,47775.7819107353,47775.7819107353,2.18278728425503e-11
2025-07-16,47643.5646028355,47643.5646028355,-1.45519152283669e-11
2025-07-17,48391.1390715322,48391.1390715322,0
2025-07-18,23070.8825000748,23070.8825000748,1.09139364212751e-11
2025-07-19,23601.0213104302,23601.0213104302,-7.27595761418343e-12
2025-07-20,47267.9269736647,47267.9269736648,-1.45519152283669e-11
2025-07-21,48752.0959157231,48752.0959157231,0
2025-07-22,48475.200278952,48475.200278952,0
2025-07-23,49107.4252190038,49107.4252190038,-2.18278728425503e-11
2025-07-24,48686.9751354592,48686.9751354593,-2.18278728425503e-11
2025-07-25,22743.9874962482,22743.9874962482,7.27595761418343e-12
2025-07-26,23014.8485421621,23014.8485421621,-7.27595761418343e-12
2025-07-27,48588.1461287354,48588.1461287354,-7.27595761418343e-12
2025-07-28,51246.1004232128,51246.1004232128,1.45519152283669e-11
2025-07-29,49654.5198281906,49654.5198281906,7.27595761418343e-12
2025-07-30,48847.6497787665,48847.6497787665,7.27595761418343e-12
2025-07-31,49385.1690239118,49385.1690239118,1.45519152283669e-11
2025-08-01,22336.9021303944,22336.9021303944,0
2025-08-02,22132.6700076803,22132.6700076803,-3.63797880709171e-12
2025-08-03,42561.6695105995,42560.4745127765,1.19499782305502
2025-08-04,43722.329390361,43722.329390361,7.27595761418343e-12
2025-08-05,43299.3459308108,43299.3459308108,0
2025-08-06,45380.7578777723,45380.7578777723,-2.18278728425503e-11
2025-08-07,42830.4106363433,42830.4106363433,-1.45519152283669e-11
2025-08-08,21820.0954796238,21820.0954796238,-7.27595761418343e-12
2025-08-09,21966.5104797689,21966.5104797689,3.63797880709171e-12
2025-08-10,43574.5098066753,43574.5098066753,0
2025-08-11,43278.3559528104,43278.3559528104,-1.45519152283669e-11
2025-08-12,45320.9736747549,45320.9736747549,7.27595761418343e-12
2025-08-13,43750.9288655013,43750.9288655013,-7.27595761418343e-12
2025-08-14,44335.5907860217,44335.5907860217,-7.27595761418343e-12
2025-08-15,22049.0495651778,22049.0495651778,0
2025-08-16,22115.8091643715,22115.8091643715,1.09139364212751e-11
2025-08-17,42779.439732747,42779.2021004939,0.237632253083575
2025-08-18,43379.3783809691,43377.3661109181,2.01227005103283
2025-08-19,43258.3119050663,43258.3119050663,0
2025-08-20,46755.5948133051,46755.5948133051,-7.27595761418343e-12
2025-08-21,43875.3835111254,43875.3835111254,7.27595761418343e-12
2025-08-22,23046.1015591046,23046.1015591046,-7.27595761418343e-12
2025-08-23,22347.256362291,22347.2563622911,-7.27595761418343e-12
2025-08-24,43620.9976507727,43620.9976507727,1.45519152283669e-11
2025-08-25,47025.6481789115,47025.6481789115,7.27595761418343e-12
